ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2022-09-29T08:00:00.011304192Z,2022-09-29T08:00:00.011293138Z,10,2,7880,A,N,0,144.580000000,50,130,11054,323966,,144.580000000,0,50,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:00.013609334Z,2022-09-29T08:00:00.013597675Z,10,2,7880,A,N,0,97.710000000,41,130,11659,324091,97.710000000,144.580000000,41,50,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:00.143610306Z,2022-09-29T08:00:00.143598211Z,10,2,7880,A,N,1,80.000000000,50,128,12095,326742,97.710000000,144.580000000,41,50,1,1,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:00.943897023Z,2022-09-29T08:00:00.943886157Z,10,2,7880,A,N,0,120.000000000,2,130,10866,331149,120.000000000,144.580000000,2,50,1,1,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:00.958996497Z,2022-09-29T08:00:00.958985951Z,10,2,7880,A,N,1,115.000000000,8,130,10546,331197,120.000000000,144.580000000,2,50,1,1,115.000000000,,8,0,1,0,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:01.243043668Z,2022-09-29T08:00:01.243033125Z,10,2,7880,A,N,1,117.000000000,10,130,10543,333430,120.000000000,144.580000000,2,50,1,1,117.000000000,,10,0,1,0,115.000000000,,8,0,1,0,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:01.245939783Z,2022-09-29T08:00:01.245928374Z,10,2,7880,A,N,0,120.000000000,20,130,11409,333532,120.000000000,144.580000000,22,50,2,1,117.000000000,,10,0,1,0,115.000000000,,8,0,1,0,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:01.986078143Z,2022-09-29T08:00:01.986067614Z,10,2,7880,A,N,0,138.000000000,10,130,10529,335737,120.000000000,138.000000000,22,10,2,1,117.000000000,144.580000000,10,50,1,1,115.000000000,,8,0,1,0,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:01.990594863Z,2022-09-29T08:00:01.990583667Z,10,2,7880,A,N,0,120.000000000,4,130,11196,335766,120.000000000,138.000000000,26,10,3,1,117.000000000,144.580000000,10,50,1,1,115.000000000,,8,0,1,0,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:01.997714653Z,2022-09-29T08:00:01.997704526Z,10,2,7880,A,N,0,120.000000000,6,130,10127,335789,120.000000000,138.000000000,32,10,4,1,117.000000000,144.580000000,10,50,1,1,115.000000000,,8,0,1,0,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:01.999698072Z,2022-09-29T08:00:01.999687130Z,10,2,7880,A,N,0,120.000000000,1,130,10942,335797,120.000000000,138.000000000,33,10,5,1,117.000000000,144.580000000,10,50,1,1,115.000000000,,8,0,1,0,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:02.001316994Z,2022-09-29T08:00:02.001306333Z,10,2,7880,A,N,0,138.000000000,75,130,10661,335799,120.000000000,138.000000000,33,85,5,2,117.000000000,144.580000000,10,50,1,1,115.000000000,,8,0,1,0,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:02.003814965Z,2022-09-29T08:00:02.003804097Z,10,2,7880,A,N,0,123.000000000,5,130,10868,335805,123.000000000,138.000000000,5,85,1,2,120.000000000,144.580000000,33,50,5,1,117.000000000,,10,0,1,0,115.000000000,,8,0,1,0,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:02.011404797Z,2022-09-29T08:00:02.011394268Z,10,2,7880,A,N,0,133.330000000,3,130,10529,335820,123.000000000,133.330000000,5,3,1,1,120.000000000,138.000000000,33,85,5,2,117.000000000,144.580000000,10,50,1,1,115.000000000,,8,0,1,0,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:02.013000525Z,2022-09-29T08:00:02.012989250Z,10,2,7880,A,N,0,133.000000000,20,130,11275,335825,123.000000000,133.000000000,5,20,1,1,120.000000000,133.330000000,33,3,5,1,117.000000000,138.000000000,10,85,1,2,115.000000000,144.580000000,8,50,1,1,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:02.014163479Z,2022-09-29T08:00:02.014152685Z,10,2,7880,A,N,1,120.000000000,1,130,10794,335829,123.000000000,133.000000000,5,20,1,1,120.000000000,133.330000000,34,3,6,1,117.000000000,138.000000000,10,85,1,2,115.000000000,144.580000000,8,50,1,1,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:02.016256362Z,2022-09-29T08:00:02.016245707Z,10,2,7880,A,N,0,128.000000000,10,130,10655,335837,123.000000000,128.000000000,5,10,1,1,120.000000000,133.000000000,34,20,6,1,117.000000000,133.330000000,10,3,1,1,115.000000000,138.000000000,8,85,1,2,97.710000000,144.580000000,41,50,1,1,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:02.018025748Z,2022-09-29T08:00:02.018015144Z,10,2,7880,A,N,1,120.880000000,200,130,10604,335849,123.000000000,128.000000000,5,10,1,1,120.880000000,133.000000000,200,20,1,1,120.000000000,133.330000000,34,3,6,1,117.000000000,138.000000000,10,85,1,2,115.000000000,144.580000000,8,50,1,1,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:02.019382819Z,2022-09-29T08:00:02.019371954Z,10,2,7880,A,N,4,115.000000000,100,130,10865,335857,123.000000000,128.000000000,5,10,1,1,120.880000000,133.000000000,200,20,1,1,120.000000000,133.330000000,34,3,6,1,117.000000000,138.000000000,10,85,1,2,115.000000000,144.580000000,108,50,2,1,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
2022-09-29T08:00:02.035365581Z,2022-09-29T08:00:02.035355050Z,10,2,7880,A,N,4,115.000000000,30,130,10531,335945,123.000000000,128.000000000,5,10,1,1,120.880000000,133.000000000,200,20,1,1,120.000000000,133.330000000,34,3,6,1,117.000000000,138.000000000,10,85,1,2,115.000000000,144.580000000,138,50,3,1,97.710000000,,41,0,1,0,80.000000000,,50,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,NVDA
